Year SSA-Mean -2SE +2SE
1543 0.023 -0.802 0.848
1544 0.223 -0.602 1.048
1545 -0.567 -1.392 0.258
1546 -0.467 -1.292 0.358
1547 -0.587 -1.412 0.238
1548 -0.347 -1.172 0.478
1549 -0.257 -1.082 0.568
1550 -0.347 -1.172 0.478
1551 -0.157 -0.982 0.668
1552 -0.167 -0.992 0.658
1553 -0.507 -1.332 0.318
1554 -0.187 -1.012 0.638
1555 -0.127 -0.952 0.698
1556 -0.227 -1.052 0.598
1557 -0.167 -0.992 0.658
1558 -0.257 -1.082 0.568
1559 -0.077 -0.902 0.748
1560 -0.277 -1.102 0.548
1561 -0.057 -0.882 0.768
1562 -0.267 -1.092 0.558
1563 -0.477 -1.302 0.348
1564 -0.257 -1.082 0.568
1565 -0.397 -1.222 0.428
1566 -0.727 -1.552 0.098
1567 -0.307 -1.132 0.518
1568 0.393 -0.432 1.218
1569 -0.087 -0.912 0.738
1570 -0.707 -1.532 0.118
1571 -0.477 -1.302 0.348
1572 -0.187 -1.012 0.638
1573 -0.967 -1.792 -0.142
1574 -0.317 -1.142 0.508
1575 -0.277 -1.102 0.548
1576 -0.637 -1.462 0.188
1577 -0.277 -1.102 0.548
1578 -0.507 -1.332 0.318
1579 -0.717 -1.542 0.108
1580 -0.407 -1.232 0.418
1581 -0.567 -1.392 0.258
1582 -0.627 -1.452 0.198
1583 -0.517 -1.342 0.308
1584 -0.257 -1.082 0.568
1585 -0.197 -1.022 0.628
1586 -0.097 -0.922 0.728
1587 -0.307 -1.132 0.518
1588 -0.057 -0.882 0.768
1589 -0.247 -1.072 0.578
1590 -0.237 -1.062 0.588
1591 -0.107 -0.932 0.718
1592 -0.457 -1.282 0.368
1593 -0.197 -1.022 0.628
1594 -0.377 -1.202 0.448
1595 -0.367 -1.192 0.458
1596 -0.077 -0.902 0.748
1597 -0.067 -0.892 0.758
1598 0.233 -0.592 1.058
1599 0.103 -0.722 0.928
1600 -0.097 -0.922 0.728
1601 0.013 -0.812 0.838
1602 0.113 -0.712 0.938
1603 0.023 -0.802 0.848
1604 -0.067 -0.892 0.758
1605 -0.017 -0.842 0.808
1606 -0.587 -1.412 0.238
1607 -0.337 -1.162 0.488
1608 -0.627 -1.452 0.198
1609 -0.577 -1.402 0.248
1610 -0.297 -1.122 0.528
1611 -0.867 -1.692 -0.042
1612 -0.637 -1.462 0.188
1613 -0.257 -1.082 0.568
1614 -0.507 -1.332 0.318
1615 -0.197 -1.022 0.628
1616 -0.367 -1.192 0.458
1617 -0.117 -0.942 0.708
1618 -0.557 -1.382 0.268
1619 -0.297 -1.122 0.528
1620 -0.047 -0.872 0.778
1621 0.023 -0.802 0.848
1622 -0.127 -0.952 0.698
1623 -0.107 -0.932 0.718
1624 0.123 -0.702 0.948
1625 0.063 -0.762 0.888
1626 0.503 -0.322 1.328
1627 -0.027 -0.852 0.798
1628 0.173 -0.652 0.998
1629 0.523 -0.302 1.348
1630 0.233 -0.592 1.058
1631 0.073 -0.752 0.898
1632 -0.367 -1.192 0.458
1633 -0.607 -1.432 0.218
1634 -0.237 -1.062 0.588
1635 -0.487 -1.312 0.338
1636 -0.247 -1.072 0.578
1637 -0.637 -1.462 0.188
1638 -0.457 -1.282 0.368
1639 -0.457 -1.282 0.368
1640 -0.337 -1.162 0.488
1641 -0.327 -1.152 0.498
1642 -0.557 -1.382 0.268
1643 -0.497 -1.322 0.328
1644 -1.027 -1.852 -0.202
1645 -0.607 -1.432 0.218
1646 -0.177 -1.003 0.649
1647 -0.577 -1.403 0.249
1648 -0.187 -1.013 0.639
1649 0.073 -0.753 0.899
1650 0.193 -0.633 1.019
1651 -0.237 -1.063 0.589
1652 -0.197 -1.023 0.629
1653 -0.407 -1.233 0.419
1654 -0.517 -1.343 0.309
1655 -0.627 -1.453 0.199
1656 -0.737 -1.563 0.089
1657 -0.237 -1.063 0.589
1658 -0.277 -1.103 0.549
1659 0.043 -0.783 0.869
1660 0.283 -0.543 1.109
1661 -0.467 -1.293 0.359
1662 0.013 -0.813 0.839
1663 0.263 -0.563 1.089
1664 0.153 -0.673 0.979
1665 0.093 -0.733 0.919
1666 0.293 -0.533 1.119
1667 -0.307 -1.133 0.519
1668 0.113 -0.713 0.939
1669 -0.367 -1.193 0.459
1670 -0.137 -0.963 0.689
1671 0.033 -0.793 0.859
1672 -0.037 -0.863 0.789
1673 -0.277 -1.103 0.549
1674 -0.197 -1.023 0.629
1675 -0.387 -1.213 0.439
1676 -0.117 -0.943 0.709
1677 0.113 -0.709 0.935
1678 0.023 -0.799 0.845
1679 0.143 -0.679 0.965
1680 0.123 -0.699 0.945
1681 -0.097 -0.919 0.725
1682 0.013 -0.809 0.835
1683 -0.287 -1.109 0.535
1684 -0.177 -0.999 0.645
1685 -0.057 -0.879 0.765
1686 0.003 -0.819 0.825
1687 -0.037 -0.859 0.785
1688 0.093 -0.729 0.915
1689 0.103 -0.719 0.925
1690 -0.327 -1.149 0.495
1691 0.043 -0.779 0.865
1692 -0.127 -0.949 0.695
1693 -0.217 -1.039 0.605
1694 -0.367 -1.189 0.455
1695 -0.137 -0.959 0.685
1696 -0.377 -1.199 0.445
1697 -0.327 -1.149 0.495
1698 -0.407 -1.229 0.415
1699 -0.087 -0.909 0.735
1700 -0.257 -1.079 0.565
1701 -0.067 -0.889 0.755
1702 -0.177 -0.999 0.645
1703 -0.267 -1.089 0.555
1704 -0.097 -0.891 0.697
1705 0.013 -0.781 0.807
1706 -0.187 -0.981 0.607
1707 -0.237 -1.031 0.557
1708 -0.177 -0.971 0.617
1709 0.103 -0.691 0.897
1710 0.343 -0.451 1.137
1711 -0.027 -0.821 0.767
1712 -0.547 -1.341 0.247
1713 -0.167 -0.961 0.627
1714 0.393 -0.401 1.187
1715 0.193 -0.601 0.987
1716 0.223 -0.571 1.017
1717 0.303 -0.491 1.097
1718 0.143 -0.651 0.937
1719 -0.077 -0.871 0.717
1720 0.233 -0.561 1.027
1721 -0.637 -1.431 0.157
1722 -0.477 -1.271 0.317
1723 -0.337 -1.131 0.457
1724 0.073 -0.721 0.867
1725 0.263 -0.531 1.057
1726 0.483 -0.311 1.277
1727 0.083 -0.711 0.877
1728 -0.297 -1.091 0.497
1729 0.023 -0.771 0.817
1730 0.513 -0.281 1.307
1731 0.303 -0.491 1.097
1732 0.043 -0.751 0.837
1733 0.523 -0.271 1.317
1734 0.293 -0.501 1.087
1735 0.253 -0.541 1.047
1736 -0.187 -0.981 0.607
1737 -0.277 -1.071 0.517
1738 -0.047 -0.841 0.747
1739 0.123 -0.671 0.917
1740 -0.227 -1.021 0.567
1741 0.173 -0.621 0.967
1742 0.603 -0.191 1.397
1743 0.313 -0.481 1.107
1744 0.333 -0.461 1.127
1745 0.493 -0.301 1.287
1746 0.153 -0.641 0.947
